Rank,Player Name,Position,College
623,Jaylon Glover,RB,UNLV
624,Kendrick Law,WR,Kentucky
625,Jamari Lyons,DL,Florida
626,J.Q. Hardaway,CB,Kentucky
627,Keenan Nelson Jr.,S,Ohio State
628,Khurtiss Perry,DL,Jacksonville State
629,Patrick Kutas,IOL,Mississippi
630,A.J. Swann,QB,Appalachian State
631,Kaden Saunders,WR,Penn State
632,Maalik Murphy,QB,Oregon State
633,Devin Brown,QB,California
634,Walker Howard,QB,Louisiana-Lafayette
635,Justice Finkley,EDGE,Kansas
636,Jack Pedersen,TE,UCLA
637,Toriano Pride,CB,Missouri
638,Tobias Merriweather,WR,Utah
639,Jordan Hudson,WR,SMU
640,Kamari Wilson,S,Memphis
641,Emar'rion Winston,EDGE,Baylor
642,Dayne Shor,OT,Akron
643,Raleek Brown,RB,Arizona State
644,Malick Sylla,EDGE,Mississippi State
645,Jayden Gibson,WR,Oklahoma
646,Joe Brunner,IOL,Wisconsin
647,Kyion Grayes,WR,California
648,Shawn Murphy,LB,South Carolina
649,Earl Little II,CB,Florida State
650,Amari Niblack,TE,Texas A&M
651,Kaleb Brown,WR,UAB
652,Popeye Williams,EDGE,Western Michigan
653,Dallan Hayden,RB,Colorado
654,Nyjalik Kelly,EDGE,UCF
655,Jaylon Guilbeau,CB,Texas
656,Robert Spears-Jennings,S,Oklahoma
657,Kevin Coleman Jr.,WR,Missouri
658,Gunner Stockton,QB,Georgia
659,M.J. Morris,QB,Coastal Carolina
660,Wesley Bissainthe,LB,Miami (FL)
661,Braylin Presley,WR,Tulsa
662,Cole Hutson,IOL,Texas
663,Gavin Sawchuk,RB,Florida State
664,Kenny Johnson,WR,Pittsburgh
665,Kobe Prentice,WR,Baylor
666,Keaten Wade,EDGE,Colorado
667,Adam Randall,RB,Clemson
668,Zion Branch,S,Georgia
669,Devon Jackson,LB,Oregon
670,Wes King,IOL,Wyoming
671,Darris Smith,EDGE,Missouri
672,Omari Abor,EDGE,SMU
673,Enai White,EDGE,Penn State
674,Carson Hinzman,IOL,Ohio State
675,Emmanuel Poku,IOL,East Carolina
676,Jacolby Spells,CB,West Virginia
677,Jake Johnson,TE,North Carolina
678,Zavion Thomas,WR,LSU
679,Kam Dewberry,IOL,Alabama
680,C.J. Williams,WR,Stanford
681,Jordan Dwyer,WR,TCU
682,Benji Gosnell,TE,Virginia Tech
683,Jeremiah Cooper,S,Iowa State
684,Savion Red,RB,Sacramento State
685,Squirrel White,WR,Florida State
686,Jalen Huskey,CB,Maryland
687,Jayden McGowan,WR,Charlotte
688,Dean Connors,RB,Houston
689,Van Wells,IOL,Oregon State
690,Pichon Wimbley,IOL,Georgia Southern
691,Kyron Barnes,OT,Nicholls
692,Maurice Westmoreland,EDGE,Tulane
693,Owen McCown,QB,UTSA
694,Hunter Zambrano,IOL,Texas Tech
695,Josh Kattus,TE,Kentucky
696,D.Q. Smith,S,South Carolina
697,Amari Jackson,CB,Boston College
698,Ernest Hausmann,LB,Michigan
699,Carsen Ryan,TE,BYU
700,Eddie Kelly,DL,West Virginia
701,Jaron Glover,WR,Mississippi State
702,Asani Redwood,DL,West Virginia
703,Donovan Saunders,CB,Utah
704,C.J. Donaldson,RB,Ohio State
705,Marcus Allen,CB,North Carolina
706,Jaylin Lucas,RB,Florida State
707,Noah Fifita,QB,Arizona
708,Byrum Brown,QB,South Florida
709,Andrew Paul,RB,Jacksonville State
710,Brendan Sorsby,QB,Cincinnati
711,Richard Reese,RB,Stephen F. Austin
